,comment,n,comment_clean
215,larva climb considerably high!; note duplicate: pupae counts may not match. Incomplete dataset only 1369 imgaes,1,not enough pupae
216,not enough pupae. Only 7 images,1,video issue
217,"not enough pupae; all pupae already at time of removing vial, with no larvae whatsoever!",1,not enough pupae
218,not enough pupae; when removing vial had 1 fly,1,not enough pupae
219,"not enough pupae, cool digging pattern around - see RPi folder",1,not enough pupae
220,pupae rec duplicate/ not enough pupae,1,not enough pupae
221,not enough pupae; typo on pupae counts,1,not enough pupae
222,"note duplicate, pupae counts might not match; when removing vial had 1 fly;",1,pupae rec duplicate
223,check again if this worked. Only 2 images,1,video issue
224,flies on their backs on the food?/ note pupae count dup and not enough pupae,1,not enough pupae
225,rec error?,1,general pupae rec error
226,ssh timeout/ Too many,1,ssh issue
227,Too few,1,not enough pupae
228,rec error?/ not enough pupae,1,general pupae rec error
229,camera issue; too few,1,camera issue
230,ssh timeout; too few,1,ssh issue
231,only 10 images,1,video issue
232,note duplicate: pupae counts may not match/ not enough pupae?,1,not enough pupae
233,"ssh timeout, incomplete dataset - 4 images",1,ssh issue
234,only 726 images,1,video issue
235,"unsure what issue it is, rebooted pi",1,general pi issue
236,ssh connection issue; not enough pupae,1,ssh issue
237,"not enough pupae. Over 10 flies inside the food through the holes still alive, see folder RPi video",1,not enough pupae
238,Leave more eggs than expected - seems like not very viable; no pupae. Only 9 images,1,video issue
239,"not enough pupae, cool digging all round the vial - see RPi folder",1,not enough pupae
240,ssh error,1,ssh issue
241,camera issue. Only 1456 images,1,video issue
242,"potentially not enough pupae; note duplicate, pupae counts might not match",1,pupae rec duplicate
243,"data folder has 589 photos as of 09/02/2026 - check again before discarding, as the video process started on the PM for some reason and not 10am? Incomplete dataset, 590 images total",1,video issue
244,not enough pupae; see RPi folder as pupae seem to have shrivelled!,1,not enough pupae
245,"not enough pupae; white residue in food , see in RPi folder",1,not enough pupae
246,"camera issue/vial issue - select second folder (it started at 11:45, not 15:11? unsure why the folder took so long to develop ). Incomplete dataset, 30 images.",1,camera issue
247,"camera issue/vial issue - no data folder created (it started at 11:45, not 15:11? unsure why the folder took so long to develop );",1,camera issue
248,note duplicate: pupae counts may not match,1,pupae rec duplicate
249,camera issue; there was a fly in the vial at the end of the experiment; not enough pupae,1,camera issue
250,"incomplete dataset, 480 images only",1,video issue
251,remote host identification,1,connection issue
252,memory issue; not enough pupae,1,general pi issue
253,not enough pupae. Only 4 images,1,video issue
254,note duplicate: pupae counts may not match/ not enough pupae,1,not enough pupae
255,no data folder,1,video issue
256,note duplicate: pupae counts may not match; not enough pupae,1,not enough pupae
257,"camera issue, check folder. Only 9 images",1,camera issue
258,"camera issue, no data folder",1,camera issue
259,"says permission denied but folder is working, ssh into pi to see if folder working okay",1,general pi issue
260,"not enough pupae; resolved IP address issue, check folder",1,not enough pupae
261,ssh connection; not enough pupare,1,ssh issue
